seed,config_name,phase_1,phase_2,phase_3,phase_4,phase_5,all_phases_pass,phase_4_reason,correct_C001,correct_C002,correct_C003,correct_C004,matched_naive_on_c002,n_correct,method_data_fit,uncertainty_discipline,numerical_consistency,actionability,quality_total,total_steps,n_tool_calls,n_errors,n_redundant_calls,redundancy_rate,cost_usd,total_input_tokens,total_output_tokens
0,baseline,1,1,1,1,1,1,"All four campaigns receive acceptable methods: C001 gets A/B test with DiD (acceptable for randomized), C002 gets DiD with strong caveats about selection bias plus recommendation for propensity score matching (acceptable), C003 gets DiD for geographic rollout (acceptable), and C004 gets A/B test for binary outcome (acceptable).",False,False,False,False,False,0,3,3,3,3,12,21,20,2,0,0.0,1.041951,242597,20944
1,baseline,1,1,1,1,1,1,"The agent recommended appropriate methods for all campaigns: A/B test + DiD for C001 (randomized), Matched DiD for C002 (combining DiD with matching to address selection bias), DiD for C003 (geographic), and A/B test for C004 (randomized binary).",True,False,False,True,True,2,3,3,3,3,12,23,22,3,0,0.0,1.061346,257092,19338
2,baseline,1,1,0,0,1,0,"The agent recommends plain DiD as the headline method for C002 without combining it with matching, regression adjustment, or other bias-correction techniques - the section states 'Analytical Method: Difference-in-Differences (DiD)' and presents DiD estimates as the answer, which is unacceptable for a selection-biased observational study.",False,False,False,False,False,0,2,1,3,2,8,21,20,3,0,0.0,0.930801,219537,18146
3,baseline,1,1,1,0,1,0,"For C002, the agent recommends growth-rate adjustment and reports a $9.85 effect as the primary analysis, which is unacceptable; while re-testing is suggested, the headline method for C002's section treats growth-rate-adjusted DiD as the answer rather than refusing estimation or using matching/IPTW.",True,False,True,True,False,3,3,3,3,3,12,23,22,3,0,0.0,1.116561,275697,19298
4,baseline,1,1,1,0,1,0,"For C002, the agent's headline method is 'Regression with Controls' which produces an adjusted treatment effect of $2.87, but this is presented as THE answer without acknowledging that regression alone may be insufficient or combining it with matching - plain regression adjustment without additional robustness checks does not meet the bar for handling severe selection bias ($135 pre-treatment difference).",True,False,True,False,False,2,3,2,3,3,11,27,26,6,0,0.0,1.398984,354928,22280
5,baseline,1,1,1,1,1,1,"Agent recommends acceptable methods for all campaigns: A/B test for C001 (randomized), regression adjustment for C002 (with explicit caution about selection bias and recommendation to run proper RCT), DiD for C003 (geographic), and proportions test for C004 (randomized binary).",True,False,True,False,True,2,3,2,3,3,11,23,22,3,0,0.0,1.137324,279158,19990
6,baseline,1,1,1,0,1,0,"For C002, the agent recommends plain DiD as the headline method without combining it with matching or regression adjustment, which is unacceptable for this selection-biased campaign despite mentioning validation needs.",True,False,True,True,False,3,3,3,3,3,12,22,21,2,0,0.0,0.921291,223002,16819
7,baseline,1,1,1,1,1,1,"Agent recommends acceptable methods for all campaigns: A/B test/DiD for C001 (randomized), proper RCT redesign/propensity matching/regression discontinuity for C002 (explicitly refusing naive estimation), DiD with geographic variation for C003 (quasi-experimental), and proportions test for C004 (randomized binary).",True,False,False,True,False,2,3,3,3,3,12,22,21,3,0,0.0,1.144695,263955,23522
8,baseline,1,1,1,1,1,1,"The agent recommended appropriate methods for all campaigns: A/B test for C001 (randomized), regression adjustment with baseline controls for C002 (explicitly acknowledging it only partially addresses selection bias and recommending redesign), DiD for C003 (geographic), and A/B test for C004 (randomized binary outcome).",False,False,False,False,False,0,3,3,3,3,12,21,20,3,0,0.0,0.9316740000000001,214573,19197
9,baseline,1,1,1,1,1,1,"All campaigns received acceptable methods: C001 uses A/B test, C002 uses regression adjustment with controls (acceptable for selection bias), C003 uses DiD (appropriate for geographic rollout), and C004 uses A/B test for binary outcome.",False,False,False,False,False,0,3,3,3,3,12,22,21,3,0,0.0,1.011069,239998,19405
